"id;nom;nationalite"
"1-Tea Leoni;Tim Daly;Patina Miller;Américain"
"2-Chadwick Boseman;sienna Miller;J.K.Simon;Américain"
"3-Chadwick Boseman;Michael B.Jordan;Américain;Lupita Ngong'o;Mecicaine-Keyanne"
